排名,标题,链接,热度,封面链接
1,牧神记,https://www.baidu.com/s?wd=%E7%89%A7%E7%A5%9E%E8%AE%B0+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,119335,"https://fyb-2.cdn.bcebos.com/hotboard_image/8f2b9f1c08ee7971447c006705bfe5ae?x-bce-process=image/resize,m_fill,w_160,h_214"
2,吞噬星空,https://www.baidu.com/s?wd=%E5%90%9E%E5%99%AC%E6%98%9F%E7%A9%BA+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,98148,"https://fyb-2.cdn.bcebos.com/hotboard_image/810db70a52e0423dfaada020ecada5e1?x-bce-process=image/resize,m_fill,w_160,h_214"
3,"全家偷听我心声杀疯了,我负责吃奶",https://www.baidu.com/s?wd=%E5%85%A8%E5%AE%B6%E5%81%B7%E5%90%AC%E6%88%91%E5%BF%83%E5%A3%B0%E6%9D%80%E7%96%AF%E4%BA%86%2C%E6%88%91%E8%B4%9F%E8%B4%A3%E5%90%83%E5%A5%B6+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,96273,"https://fyb-2.cdn.bcebos.com/hotboard_image/2c25b0f6478e694e543227d143f30a4d?x-bce-process=image/resize,m_fill,w_160,h_214"
4,盖世神医,https://www.baidu.com/s?wd=%E7%9B%96%E4%B8%96%E7%A5%9E%E5%8C%BB+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,93038,"https://fyb-2.cdn.bcebos.com/hotboard_image/130271118f833101b8ee9728dd77a850?x-bce-process=image/resize,m_fill,w_160,h_214"
5,太荒吞天诀,https://www.baidu.com/s?wd=%E5%A4%AA%E8%8D%92%E5%90%9E%E5%A4%A9%E8%AF%80+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,92970,"https://fyb-2.cdn.bcebos.com/hotboard_image/66409d96ad57fe3b9bf4eb4c4a0ce677?x-bce-process=image/resize,m_fill,w_160,h_214"
6,诡秘之主,https://www.baidu.com/s?wd=%E8%AF%A1%E7%A7%98%E4%B9%8B%E4%B8%BB+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,91993,"https://fyb-2.cdn.bcebos.com/hotboard_image/6b1e8f4838a31a95ebdf3690e56a2fcb?x-bce-process=image/resize,m_fill,w_160,h_214"
7,封总，太太想跟你离婚很久了,https://www.baidu.com/s?wd=%E5%B0%81%E6%80%BB%EF%BC%8C%E5%A4%AA%E5%A4%AA%E6%83%B3%E8%B7%9F%E4%BD%A0%E7%A6%BB%E5%A9%9A%E5%BE%88%E4%B9%85%E4%BA%86+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,88033,"https://fyb-2.cdn.bcebos.com/hotboard_image/18330b547f697a6e2b3e1b8ac430e71e?x-bce-process=image/resize,m_fill,w_160,h_214"
8,上门龙婿,https://www.baidu.com/s?wd=%E4%B8%8A%E9%97%A8%E9%BE%99%E5%A9%BF+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,80326,"https://fyb-2.cdn.bcebos.com/hotboard_image/d8173595b38985d2cbda8cb95ff5fcad?x-bce-process=image/resize,m_fill,w_160,h_214"
9,修罗武神,https://www.baidu.com/s?wd=%E4%BF%AE%E7%BD%97%E6%AD%A6%E7%A5%9E+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,78249,"https://fyb-2.cdn.bcebos.com/hotboard_image/22871882d2d889e44162ca9d3c540dcd?x-bce-process=image/resize,m_fill,w_160,h_214"
10,凡人修仙传,https://www.baidu.com/s?wd=%E5%87%A1%E4%BA%BA%E4%BF%AE%E4%BB%99%E4%BC%A0+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,77345,"https://fyb-2.cdn.bcebos.com/hotboard_image/8ad93135a5198e2aa2976213d126273f?x-bce-process=image/resize,m_fill,w_160,h_214"
11,九星霸体诀,https://www.baidu.com/s?wd=%E4%B9%9D%E6%98%9F%E9%9C%B8%E4%BD%93%E8%AF%80+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,71414,"https://fyb-2.cdn.bcebos.com/hotboard_image/6b85a457a4ec4286b08e9b02016928c9?x-bce-process=image/resize,m_fill,w_160,h_214"
12,剑来,https://www.baidu.com/s?wd=%E5%89%91%E6%9D%A5+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,67545,"https://fyb-2.cdn.bcebos.com/hotboard_image/dcdc8137e9e100965357d37b2246cdb9?x-bce-process=image/resize,m_fill,w_160,h_214"
13,沧元图,https://www.baidu.com/s?wd=%E6%B2%A7%E5%85%83%E5%9B%BE+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,65025,"https://fyb-2.cdn.bcebos.com/hotboard_image/6ab77e4258d10661477d236a126997a3?x-bce-process=image/resize,m_fill,w_160,h_214"
14,割鹿记,https://www.baidu.com/s?wd=%E5%89%B2%E9%B9%BF%E8%AE%B0+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,60690,"https://fyb-2.cdn.bcebos.com/hotboard_image/1a9735ae0f567b00a0ebd277d9343555?x-bce-process=image/resize,m_fill,w_160,h_214"
15,镇国神婿,https://www.baidu.com/s?wd=%E9%95%87%E5%9B%BD%E7%A5%9E%E5%A9%BF+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,60606,"https://fyb-2.cdn.bcebos.com/hotboard_image/8b639285a6bd6b4f358f5fd722d0fcb1?x-bce-process=image/resize,m_fill,w_160,h_214"
16,藏于昼夜,https://www.baidu.com/s?wd=%E8%97%8F%E4%BA%8E%E6%98%BC%E5%A4%9C+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,59050,"https://fyb-2.cdn.bcebos.com/hotboard_image/58805d35b37170c11caa9cb0fe0600a0?x-bce-process=image/resize,m_fill,w_160,h_214"
17,桃花马上请长缨,https://www.baidu.com/s?wd=%E6%A1%83%E8%8A%B1%E9%A9%AC%E4%B8%8A%E8%AF%B7%E9%95%BF%E7%BC%A8+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,58313,"https://fyb-2.cdn.bcebos.com/hotboard_image/8a84e7b9165badcfac35e66a430240de?x-bce-process=image/resize,m_fill,w_160,h_214"
18,重生之将门毒后,https://www.baidu.com/s?wd=%E9%87%8D%E7%94%9F%E4%B9%8B%E5%B0%86%E9%97%A8%E6%AF%92%E5%90%8E+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,54577,"https://fyb-2.cdn.bcebos.com/hotboard_image/6dcdb14ea026ad4bd59f8077eed0cda0?x-bce-process=image/resize,m_fill,w_160,h_214"
19,都市之最强狂兵（又名：都市狂枭）,https://www.baidu.com/s?wd=%E9%83%BD%E5%B8%82%E4%B9%8B%E6%9C%80%E5%BC%BA%E7%8B%82%E5%85%B5%EF%BC%88%E5%8F%88%E5%90%8D%EF%BC%9A%E9%83%BD%E5%B8%82%E7%8B%82%E6%9E%AD%EF%BC%89+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,46992,"https://fyb-2.cdn.bcebos.com/hotboard_image/0781b102992b650c4ba4fbff6ce5f537?x-bce-process=image/resize,m_fill,w_160,h_214"
20,都市狂龙医仙,https://www.baidu.com/s?wd=%E9%83%BD%E5%B8%82%E7%8B%82%E9%BE%99%E5%8C%BB%E4%BB%99+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,42556,"https://fyb-2.cdn.bcebos.com/hotboard_image/9e0d353494fda4f8f58986f7f16e2a63?x-bce-process=image/resize,m_fill,w_160,h_214"
21,全职高手,https://www.baidu.com/s?wd=%E5%85%A8%E8%81%8C%E9%AB%98%E6%89%8B+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,38186,"https://fyb-2.cdn.bcebos.com/hotboard_image/959ac98a23f961f44cb97b14dc4eb39c?x-bce-process=image/resize,m_fill,w_160,h_214"
22,做局,https://www.baidu.com/s?wd=%E5%81%9A%E5%B1%80+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,37700,"https://fyb-2.cdn.bcebos.com/hotboard_image/87d7799b48d32d36be3bc1f4aa7475ca?x-bce-process=image/resize,m_fill,w_160,h_214"
23,斗罗大陆3龙王传说,https://www.baidu.com/s?wd=%E6%96%97%E7%BD%97%E5%A4%A7%E9%99%863%E9%BE%99%E7%8E%8B%E4%BC%A0%E8%AF%B4+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,36993,"https://fyb-2.cdn.bcebos.com/hotboard_image/344b71d9289db6bcfba0824bac2dc7f5?x-bce-process=image/resize,m_fill,w_160,h_214"
24,诛仙,https://www.baidu.com/s?wd=%E8%AF%9B%E4%BB%99+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,35331,"https://fyb-2.cdn.bcebos.com/hotboard_image/9c386055d697b13f992938a44e96f4e9?x-bce-process=image/resize,m_fill,w_160,h_214"
25,斗破苍穹,https://www.baidu.com/s?wd=%E6%96%97%E7%A0%B4%E8%8B%8D%E7%A9%B9+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,34939,"https://fyb-2.cdn.bcebos.com/hotboard_image/808f0cfd389550af8688b9921e0fae9f?x-bce-process=image/resize,m_fill,w_160,h_214"
26,斗罗大陆II绝世唐门,https://www.baidu.com/s?wd=%E6%96%97%E7%BD%97%E5%A4%A7%E9%99%86II%E7%BB%9D%E4%B8%96%E5%94%90%E9%97%A8+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,34916,"https://fyb-2.cdn.bcebos.com/hotboard_image/8565b502eeac02d491a503c8e514322a?x-bce-process=image/resize,m_fill,w_160,h_214"
27,"为奴三年后,整个侯府跪求我原谅",https://www.baidu.com/s?wd=%E4%B8%BA%E5%A5%B4%E4%B8%89%E5%B9%B4%E5%90%8E%2C%E6%95%B4%E4%B8%AA%E4%BE%AF%E5%BA%9C%E8%B7%AA%E6%B1%82%E6%88%91%E5%8E%9F%E8%B0%85+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,30364,"https://fyb-2.cdn.bcebos.com/hotboard_image/0de0a95daf26b2b34dcc12bafd3b477a?x-bce-process=image/resize,m_fill,w_160,h_214"
28,大奉打更人,https://www.baidu.com/s?wd=%E5%A4%A7%E5%A5%89%E6%89%93%E6%9B%B4%E4%BA%BA+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,30180,"https://fyb-2.cdn.bcebos.com/hotboard_image/294ff671ef0cf8b59e45746b8c4c6cbb?x-bce-process=image/resize,m_fill,w_160,h_214"
29,无敌天命,https://www.baidu.com/s?wd=%E6%97%A0%E6%95%8C%E5%A4%A9%E5%91%BD+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,29663,"https://fyb-2.cdn.bcebos.com/hotboard_image/a37f42688d177ca4c4f385fe3651c389?x-bce-process=image/resize,m_fill,w_160,h_214"
30,女总裁的上门女婿,https://www.baidu.com/s?wd=%E5%A5%B3%E6%80%BB%E8%A3%81%E7%9A%84%E4%B8%8A%E9%97%A8%E5%A5%B3%E5%A9%BF+%E5%B0%8F%E8%AF%B4&sa=fyb_novel_all&rsv_dl=fyb_novel_all,29337,"https://fyb-2.cdn.bcebos.com/hotboard_image/43bda2ed075527b204ee117ec2d08b37?x-bce-process=image/resize,m_fill,w_160,h_214"
